Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Processor Speed Unit,Type,Width of the Display,Height of the Display,OS,Storage Type,Hard Drive Capacity,Hard Drive Capacity Unit,SSD Capacity,SSD Capacity Unit,Screen Size (inch),Ram Size,Ram Size Unit
dell,$189.00 ,black,"10/100 LAN Card, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",every laptop is gone through and parts replaced. we had to reskin the top because of engraving.your computer includes a windows 10 pro installation . minor scuffs & light scratches may be present. genuine components are installed to ensure quality. your computer will ship securely in a new brown box to ensure a great delivery experience ac adapter included,intel,intel core i5 6th generation,2.6,GHz,notebook/laptop,1366,786,windows,other,0,gb,256,gb,14,16,gb
dell,$358.00 ,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi, SIM Card Slot",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i5 8th generation,3.6,GHz,notebook/laptop,1920,1080,windows,ssd,2,tb,,unknown,15.6,,gb
dell,$290.00 ,black,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i5 8th generation,3.6,GHz,notebook/laptop,1920,1080,windows,ssd,2,tb,,unknown,14,,gb
dell,$326.00 ,black,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Widescreen Display,  Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i7 7th generation,3.9,GHz,notebook/laptop,1920,1080,windows,ssd,2,tb,,unknown,14,,gb
lenovo,$200.00 ,other,"Webcam,  Bluetooth,  Wi-Fi",Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,intel,intel core i5 6th generation,2.4,GHz,notebook/laptop,1920,1080,windows,ssd,512,gb,512,gb,14,20,gb
lenovo,$289.00 ,blue,"Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Stereo speakers, Wi-Fi 6",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel pentium silver n6000,o3.3,GHz,notebook/laptop,1920,1080,windows,ssd,1,tb,1,tb,15.6,36,gb
lenovo,$280.00 ,black,"Backlit Keyboard, Bluetooth, Built-in Webcam, Touch ID, Wi-Fi",Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",fully tested in great condition one year warranty,intel,intel core i5 8th generation,1.7,GHz,notebook/laptop,1920,1080,windows,ssd,500,gb,500,gb,14,16,gb
hp,$180.00 ,silver,"Bluetooth,  Built-in Microphone,  Built-in Webcam",For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.",each laptop is tested to turn on and post into bios. each one has cosmetic damages all over the body and corners. the laptops have bad screens. no more than 2 laptops may be missing the keyboard. please look at pictures. these are sold for parts / repair. as is.,other,intel core i3 7th generation,2.4,GHz,notebook/laptop,1366,768,unknown,ssd,500,gb,120,gb,13.3,8,gb
dell,$49.50 ,black,"Built-in Microphone, Built-in Webcam, Rugged, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","excellent condition. may have some very light signs of use on exterior, barely noticeable. fully functional 100%. these have been tested, cleaned and imaged, and are in full working condition. includes authentic dell ac adapter. a grade laptop!",intel,intel celeron n2840,2.16,GHz,notebook/laptop,1366,768,chrome,ssd,16,gb,16,gb,11.6,4,gb
dell,$325.00 ,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Widescreen Display, Wi-Fi",Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","aaa pcs is a microsoft authorized refurbisher partner. (mar) your computer will ship securely and neatly in a new brown box to ensure a great delivery experience. minimal imperfections may be present on the unit, such as light scuffs or light scratches. genuine ac adapter & battery included with your order. your order is backed by our 30 day money-back guarantee, and extended 1-year allstate warranty.",intel,intel core i5 8th generation,3.4,GHz,notebook/laptop,1920,1080,windows,ssd,2,tb,,unknown,14,,gb
microsoft,$388.80 ,other,Built-in Webcam,Undefined,Undefined,undefined,intel,intel core i7 8th generation,1.9,GHz,notebook/laptop,,,windows,ssd,,unknown,512,gb,13.3,16,gb
